Phentyope	ACMG SF List Version	MIM Disorder	Gene	Inheritance 	Variants to Report
X-linked adrenoleukodystrophy	3.3	300100	ABCD1	XL	All hemi or homozygous P and LP or 2 het. P/LP variants
Familial thoracic aortic aneurysm	1.0	611788	ACTA2	AD	All P and LP
Hypertrophic cardiomyopathy	1.0	612098	ACTC1	AD	All P and LP
Hereditary hemorrhagic telangiectasia	3.0	600376	ACVRL1	AD	All P and LP
Familial adenomatous polyposis	1.0	175100	APC	AD 	All P and LP
Familial hypercholesterolemia	1.0	144010	APOB	AD	All P and LP
Wilson disease	2.0	277900	ATP7B	AR	P and LP (2 variants)
Dilated cardiomyopathy	3.1	613881	BAG3	AD	All P and LP
Myofibrillar myopathy	3.1	612954	BAG3	AD	All P and LP
Juvenile polyposis syndrome	1.0	174900	BMPR1A	AD	All P and LP
Hereditary breast and ovarian cancer	1.0	604370	BRCA1	AD	All P and LP
Hereditary breast and ovarian cancer	1.0	612555	BRCA2	AD	All P and LP
Biotinidase deficiency	3.0	253260	BTD	AR	P and LP (2 variants)
Malignant hyperthermia	1.0	601887	CACNA1S	AD	All P and LP
Long-QT syndrome type 14	3.2	616247	CALM1	AD	All P and LP
Catecholaminergic polymorphic ventricular tachycardia	3.2	614916	CALM1	AD	All P and LP
Long-QT syndrome type 15	3.2	616249	CALM2	AD	All P and LP
Catecholaminergic polymorphic ventricular tachycardia	3.2	616249	CALM2	AD	All P and LP
Long-QT syndrome type 16	3.2	618782	CALM3	AD	All P and LP
Catecholaminergic polymorphic ventricular tachycardia	3.2	618782	CALM3	AD	All P and LP
Catecholaminergic polymorphic ventricular tachycardia	3.0	611938	CASQ2	AR	P and LP (2 variants)
"Ehlers-Danlos syndrome	 vascular type"	1.0	130050	COL3A1	AD	All P and LP
Cerebrotendinous xanthomatosis	3.3	213700	CYP27A1	AR	P and LP (2 variants)
Dliated cardiomyopathy	3.1	604765	DES	AD	All P and LP
Myofibrillar myopathy	3.1	601419	DES	AD	All P and LP
Arrhythmogenic right ventricular cardiomyopathy	1.0	610476	DSC2	AD	All P and LP
Arrhythmogenic right ventricular cardiomyopathy	1.0	610193	DSG2	AD	All P and LP
Arrhythmogenic right ventricular cardiomyopathy	1.0	607450	DSP	AD	All P and LP
Dilated cardiomyopathy	1.0	615821	DSP	AD	All P and LP
Hereditary hemorrhagic telangiectasia	3.0	187300	ENG	AD	All P and LP
Marfan syndrome	1.0	154700	FBN1	AD	All P and LP
Dilated cardiomyopathy	3.0	n/a	FLNC	AD	All P and LP
Hypertrophic cardiomyopathy	3.0	617047	FLNC	AD	All P and LP
Myofibrillar myopathy	3.0	609524	FLNC	AD	All P and LP
Pompe disease	3.0	232300	GAA	AR	P and LP (2 variants)
Fabry disease	1.0	301500	GLA	XL	"All hemi	 het	 homozygous P and LP"
Hereditary hemochromatosis (c.845G>A; p.C282Y homozygotes only)	3.0	235200	HFE	AR	p.C282Y homozygotes only
Maturity-Onset of Diabetes of the Young	3.0	600496	HNF1A	AD	All P and LP
Long-QT syndrome type 2	1.0	613688	KCNH2	AD	All P and LP
Long-QT syndrome type 1	1.0	192500	KCNQ1	AD	All P and LP
Familial hypercholesterolemia	1.0	143890	LDLR	AD	All P and LP
Dilated cardiomyopathy	1.0	115200	LMNA	AD	All P and LP
Hereditary paraganglioma-pheochromocytoma syndrome	3.0	171300	MAX	AD	All P and LP
Multiple endocrine neoplasia type 1	1.0	131100	MEN1	AD	All P and LP
Lynch syndrome	1.0	609310	MLH1	AD	All P and LP
Lynch syndrome	1.0	120435	MSH2	AD	All P and LP
Lynch syndrome	1.0	614350	MSH6	AD	All P and LP
MUTYH-associated polyposis	1.0	608456	MUTYH	AR	P and LP (2 variants)
Hypertrophic cardiomyopathy	1.0	115197	MYBPC3	AD	All P and LP
Familial thoracic aortic aneurysm	1.0	132900	MYH11	AD	All P and LP
Hypertrophic cardiomyopathy	1.0	192600	MYH7	AD	All P and LP
Dilated cardiomyopathy	1.0	613426	MYH7	AD	All P and LP
Hypertrophic cardiomyopathy	1.0	608758	MYL2	AD	All P and LP
Hypertrophic cardiomyopathy	1.0	608751	MYL3	AD	All P and LP
NF2-related schwannomatosis	1.0	101000	NF2	AD	All P and LP
Ornithine transcarbamylase deficiency	2.0	311250	OTC	XL	"All hemi	 het	 homozygous P and LP"
Hereditary breast cancer	3.0	114480	PALB2	AD	All P and LP
Familial hypercholesterolemia	1.0	603776	PCSK9	AD	All P and LP
Arrhythmogenic right ventricular cardiomyopathy	1.0	609040	PKP2	AD	All P and LP
Dilated cardiomyopathy	3.3	609909	PLN	AD	All P and LP
Lynch syndrome	1.0	614337	PMS2	AD	All P and LP
Hypertrophic cardiomyopathy	1.0	600858	PRKAG2	AD	All P and LP
PTEN hamartoma tumor syndrome	1.0	158350	PTEN	AD	All P and LP
Retinoblastoma	1.0	180200	RB1	AD	All P and LP
Dliated cardiomyopathy	3.1	613172	RBM20	AD	All P and LP
Familial medullary thyroid cancer	1.0	155240	RET	AD	All P and LP
Multiple endocrine neoplasia type 2A	1.0	171400	RET	AD	All P and LP
Multiple endocrine neoplasia type 2B	1.0	162300	RET	AD	All P and LP
RPE65-related retinopathy	3.0	"204100	
613794"	RPE65	AR	P and LP (2 variants)
Malignant hyperthermia	1.0	145600	RYR1	AD	All P and LP
Catecholaminergic polymorphic ventricular tachycardia	1.0	604772	RYR2	AD	All P and LP
Long QT syndrome type 3	1.0	603830	SCN5A	AD	All P and LP
Brugada syndrome	1.0	601144	SCN5A	AD	All P and LP
Dilated cardiomyopathy	1.0	601154	SCN5A	AD	All P and LP
Hereditary paraganglioma-pheochromocytoma syndrome	1.0	601650	SDHAF2	AD	All P and LP
Hereditary paraganglioma-pheochromocytoma syndrome	1.0	"115310	
171300"	SDHB	AD	All P and LP
Hereditary paraganglioma-pheochromocytoma syndrome	1.0	605373	SDHC	AD	All P and LP
Hereditary paraganglioma-pheochromocytoma syndrome	1.0	"168000	
171300"	SDHD	AD	All P and LP
Loeys-Dietz syndrome	1.0	613795	SMAD3	AD	All P and LP
Juvenile polyposis syndrome	1.0	174900	SMAD4	AD	All P and LP
Hereditary hemorrhagic telangiectasia	1.0	175050	SMAD4	AD	All P and LP
Peutz-Jeghers syndrome	1.0	175200	STK11	AD	All P and LP
Loeys-Dietz syndrome	1.0	609192	TGFBR1	AD	All P and LP
Loeys-Dietz syndrome	1.0	610168	TGFBR2	AD	All P and LP
Hereditary paraganglioma-pheochromocytoma syndrome	3.0	171300	TMEM127	AD	All P and LP
Arrhythmogenic right ventricular cardiomyopathy	1.0	604400	TMEM43	AD	All P and LP
Dilated cardiomyopathy	3.1	611879	TNNC1	AD	All P and LP
Hypertrophic cardiomyopathy	1.0	613690	TNNI3	AD	All P and LP
Dilated cardiomyopathy	1.0	601494	TNNT2	AD	All P and LP
Hypertrophic cardiomyopathy	1.0	115195	TNNT2	AD	All P and LP
Li-Fraumeni syndrome	1.0	151623	TP53	AD	All P and LP
Hypertrophic cardiomyopathy	1.0	115196	TPM1	AD	All P and LP
Catecholaminergic polymorphic ventricular tachycardia	3.0	615441	TRDN	AR	All P and LP
Long QT syndrome	3.0	n/a	TRDN	AR	All P and LP
Tuberous sclerosis complex	1.0	191100	TSC1	AD	All P and LP
Tuberous sclerosis complex	1.0	613254	TSC2	AD	All P and LP
Dilated cardiomyopathy (truncating variants only)	3.0	604145	TTN	AD	P and LP (truncating variants only)
Hereditary transthyretin-related amyloidosis	3.1	105210	TTR	AD	All P and LP
Von Hippel-Lindau syndrome	1.0	193300	VHL	AD	All P and LP
WT1-related Wilms tumor	1.0	194070	WT1	AD	All P and LP
					
			"Disclaimer: This statement is designed primarily as an educational resource for medical geneticists and other clinicians to help them provide quality medical services. Adherence to this statement is completely voluntary and does not necessarily assure a successful medical outcome. This statement should not be considered inclusive of all proper procedures and tests or exclusive of other procedures and tests that are reasonably directed to obtaining the same results. In determining the propriety of any specific procedure or test	 the clinician should apply his or her own professional judgment to the specific clinical circumstances presented by the individual patient or specimen.  Clinicians are encouraged to document the reasons for the use of a particular procedure or test	 whether or not it is in conformance with this statement. Clinicians also are advised to take notice of the date this statement was adopted	 and to consider other medical and scientific information that becomes available after that date. It also would be prudent to consider whether intellectual property interests may restrict the performance of certain tests and other procedures."		
